"1002 - Government College of Engineering, Amravati",,,,,,,,,,
Government Autonomous,,,,,CAP Seats:60,,,,,
Choice Code Course Name,SI,MS Seats,,,Minority Seats,All India,,,Institute,Orphan
"",,,,,,,,,Seats,
100219110 Civil Engineering,60,60,,,0,,0,,0,1
Category OPEN SC ST,VJ/DT,,NTB,,NTC,NTD,,,OBC,Total
General / Ladies G L G L G L,G,L G,,L,G L G,,L,G,L,G + L
State Level 18 7 6 2 3 1,1,1 1,,0,1 1 1,,0,8,4,55
PWD 2 0 0,0,,0,,0,0,,,0,2
"",PWD Common Reserved Seats : 1,,,,,,,,,
DEF 2 0 0,0,,0,,0,0,,,0,2
"",DEF Common Reserved Seats : 1,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 100219111T,,,,,,,,,Seats: 3
"",,,,,,,,,,,,,,,,,,
"1002 - Government College of Engineering, Amravati",,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
100224210,Computer Science and Engineering,60,60,0,0,0,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,18,7,6,2,3,1,1,1,1,1,1,1,1,0,8,3,55,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 100224211T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"1002 - Government College of Engineering, Amravati",,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
100224610,Information Technology,60,60,0,0,0,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,18,7,5,2,4,1,1,0,1,1,1,1,1,0,8,4,55,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 100224611T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"1002 - Government College of Engineering, Amravati",,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
100229310,Electrical Engineering,60,60,0,0,0,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,18,7,6,2,3,1,1,1,1,0,1,1,1,0,8,4,55,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 100229311T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"1002 - Government College of Engineering, Amravati",,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
100237210,Electronics and Telecommunication Engg,60,60,0,0,0,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,18,7,6,2,3,1,1,1,1,1,1,1,1,0,8,3,55,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
