Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
1,14789 (85.2493707),0110124610,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,JEE(Main)-2024,AI to AI,AI
2,36978 (65.7022258),0110161210,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
3,21832 (78.8475420),0110137210,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
4,9553 (90.0150514),0110124210,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering,,,
5,29415 (72.1885748),0110135610,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics,JEE(Main)-2024,AI to AI,AI
"",,,,and Power],,,
6,38190 (64.7375694),0110526710,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering (IoT),,,
7,57176 (48.6301306),0110519110,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,JEE(Main)-2024,AI to AI,AI
8,56656 (49.2543008),0110561210,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
9,36070 (66.4622994),0110537210,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
10,31019 (70.8363852),0110526310,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Artificial Intelligence (AI),JEE(Main)-2024,AI to AI,AI
"",,,,and Data Science,,,
11,20345 (80.2427627),0110524210,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering,,,
12,27689 (73.7173337),0110524610,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Information Technology,JEE(Main)-2024,AI to AI,AI
