Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
1,12401 (87.3309399),0110124610,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,JEE,AI to AI,AI
2,30398 (71.3769198),0110135610,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics,JEE,AI to AI,AI
"",,,,and Power],,,
3,14768 (85.2789520),0110137210,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
4,31207 (70.7178978),0110161210,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,JEE,AI to AI,AI
5,51315 (53.7750944),0110519110,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,JEE,AI to AI,AI
6,18549 (81.7927537),0110524210,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
7,21723 (78.9227248),0110524610,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Information Technology,JEE,AI to AI,AI
8,30647 (71.1861396),0110537210,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
9,53904 (51.6406469),0110561210,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Mechanical Engineering,JEE,AI to AI,AI
10,45683 (58.6258093),0110719110,"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Civil Engineering,JEE,AI to AI,AI
11,20068 (80.4005535),0110724210,"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
12,42735 (61.0236779),0110729310,"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Electrical Engineering,JEE,AI to AI,AI
13,35854 (66.6655105),0110737210,"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
14,31498 (70.5477463),0110799510,"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Artificial Intelligence and,JEE,AI to AI,AI
"",,,,Data Science,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
15,51965 (53.0366088),0111419110,"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology,",Civil Engineering,JEE,AI to AI,AI
"",,,Amravati,,,,
16,29439 (72.1885748),0111426310,"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology,",Artificial Intelligence (AI),JEE,AI to AI,AI
"",,,Amravati,and Data Science,,,
17,29102 (72.4780171),0111437210,"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology,",Electronics and,JEE,AI to AI,AI
"",,,Amravati,Telecommunication Engg,,,
18,54035 (51.4671199),0111461210,"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology,",Mechanical Engineering,JEE,AI to AI,AI
"",,,Amravati,,,,
19,64662 (42.0665339),0111619110,"01116 - Shri Shivaji Education Society's College of Engineering and Technology,",Civil Engineering,JEE,AI to AI,AI
"",,,Akola,,,,
20,60297 (45.8887471),0111624210,"01116 - Shri Shivaji Education Society's College of Engineering and Technology,",Computer Science and,JEE,AI to AI,AI
"",,,Akola,Engineering,,,
21,62971 (43.5428977),0111624610,"01116 - Shri Shivaji Education Society's College of Engineering and Technology,",Information Technology,JEE,AI to AI,AI
"",,,Akola,,,,
22,72927 (33.2232604),0111719110,01117 - Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of,Civil Engineering,JEE,AI to AI,AI
"",,,"Engineering, Pusad",,,,
23,57472 (48.5158173),0111724210,01117 - Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of,Computer Science and,JEE,AI to AI,AI
"",,,"Engineering, Pusad",Engineering,,,
24,86409 (13.5512762),0111735610,01117 - Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of,Electrical Engg[Electronics,JEE,AI to AI,AI
"",,,"Engineering, Pusad",and Power],,,
25,89100 (7.0443070),0111761210,01117 - Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of,Mechanical Engineering,JEE,AI to AI,AI
"",,,"Engineering, Pusad",,,,
26,42451 (61.2790648),0111924210,"01119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha",Computer Science and,JEE,AI to AI,AI
"",,,"Engineering College, Chikhali",Engineering,,,
27,44044 (60.0480266),0111924610,"01119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha",Information Technology,JEE,AI to AI,AI
"",,,"Engineering College, Chikhali",,,,
28,69775 (36.6180714),0111937210,"01119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha",Electronics and,JEE,AI to AI,AI
"",,,"Engineering College, Chikhali",Telecommunication Engg,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
29,173466 (25.5936912),0111950710,"01119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha",Chemical Engineering,MHT-CET,AI to AI,AI
"",,,"Engineering College, Chikhali",,,,
