"01002 - Government College of Engineering, Amravati",,,,,,,,,,,,,
Government Autonomous,,,,,CAP Seats:60,,,,,,,,
Choice Code Course Name,SI,MS Seats,,,Minority Seats,All India,,,,,Institute Seats,,Orphan
0100219110 Civil Engineering,60,60,,,0,0,,,,,0,,1
Category OPEN SC ST,VJ/DT,,NTB,,NTC,NTD,,,OBC,,SEBC,,Total
General / Ladies G L G L G L,G,L G,,L,G L G,L,,G,,L,G,L,G + L
State Level 15 7 6 2 3 1,1,1 1,,0,1 1 1,0,,6,,3,4,2,55
PWD 1 0 0,0,,0,,0,0,,,1,,0,,2
"",PWD Common Reserved Seats : 1,,,,,,,,,,,,
DEF 1 0 0,0,,0,,0,0,,,1,,0,,2
"",DEF Common Reserved Seats : 1,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 0100219111T :,,,,,,,,Seats: 3,,,,
"",,,,,,,,,,,,,,,,,,,,
"01002 - Government College of Engineering, Amravati",,,,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0100224210,Computer Science and Engineering,60,60,0,0,0,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,15,6,5,3,3,1,1,0,1,1,2,0,0,1,7,3,4,2,55,
PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 0100224211T :                    Seats: 3,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01002 - Government College of Engineering, Amravati",,,,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0100224610,Information Technology,60,60,0,0,0,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,16,6,5,2,2,2,2,0,2,0,1,1,1,0,7,2,5,1,55,
PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 0100224611T :                    Seats: 3,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01002 - Government College of Engineering, Amravati",,,,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0100229310,Electrical Engineering,60,60,0,0,0,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,15,7,6,2,3,1,1,1,0,1,2,0,1,0,6,3,4,2,55,
PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 0100229311T :                    Seats: 3,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01002 - Government College of Engineering, Amravati",,,,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0100237210,Electronics and Telecommunication Engg,60,60,0,0,0,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,15,7,5,2,4,1,1,1,1,0,1,1,1,0,6,3,4,2,55,
PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
